champion,skin,release
Yorick,Meowrick,2019-03-27
Yorick,Original,2011-06-22
Yorick,Pentakill,2011-06-21
Yorick,Pentakill Lost Chapter,2021-09-09
Yorick,Resistance,2020-11-12
Yorick,Undertaker,2011-06-21
Yuumi,Battle Principal,2019-05-14
Yuumi,Bewitching,2021-10-07
Yuumi,Heartseeker,2020-02-04
Yuumi,Original,2019-05-14
Yuumi,Yuubee,2021-03-04
Zac,Battlecast,2020-11-12
Zac,Original,2013-03-29
Zac,Pool Party,2015-06-25
Zac,SKT T1,2017-06-27
Zac,Special Weapon,2013-03-29
Zed,Championship,2016-09-25
Zed,Death Sworn,2017-10-25
Zed,Debonair,2021-12-09
Zed,Galaxy Slayer,2019-04-18
Zed,Original,2012-11-13
Zed,PROJECT,2015-09-07
Zed,Prestige PROJECT,2021-06-24
Zed,PsyOps,2020-09-17
Zed,SKT T1,2014-05-04
Zed,Shockblade,2012-11-13
Zeri,Original,2022-01-20
Zeri,Withered Rose,2022-01-20
Ziggs,BZZZiggs,2022-03-03
Ziggs,Battle Boss,2017-08-08
Ziggs,Hextech,2020-09-03
Ziggs,Mad Scientist,2012-02-01
Ziggs,Major,2012-02-01
Ziggs,Master Arcanist,2015-05-06
Ziggs,Odyssey,2018-09-12
Ziggs,Original,2012-02-01
Ziggs,Pool Party,2012-09-04
Ziggs,Snow Day,2012-12-14
Ziggs,Sugar Rush,2019-12-17
Zilean,Blood Moon,2015-05-10
Zilean,Groovy,2010-07-27
Zilean,Old Saint,2009-12-23
Zilean,Original,2009-04-17
Zilean,Shurima Desert,2010-09-08
Zilean,Sugar Rush,2019-12-17
Zilean,Time Machine,2011-04-12
Zoe,Arcanist,2020-07-09
Zoe,Cyber Pop,2017-11-21
Zoe,Original,2017-11-21
Zoe,Pool Party,2018-08-02
Zoe,Prestige Arcanist,2020-07-09
Zoe,Star Guardian,2019-09-12
Zyra,Coven,2020-04-16
Zyra,Crime City Nightmare,2021-08-26
Zyra,Crystal Rose,2021-02-11
Zyra,Dragon Sorceress,2017-03-09
Zyra,Haunted,2013-10-29
Zyra,Original,2012-07-24
Zyra,Prestige Coven,2020-04-16
Zyra,SKT T1,2014-05-04
Zyra,Wildfire,2012-07-24
